"","Group.1","Group.2","x"
"1123","Luxembourg","02/29/2020",1
"1124","Macau","02/29/2020",10
"1125","Mainland China","02/29/2020",79251
"1126","Malaysia","02/29/2020",25
"1127","Mexico","02/29/2020",4
"1128","Monaco","02/29/2020",1
"1129","Nepal","02/29/2020",1
"1130","Netherlands","02/29/2020",6
"1131","New Zealand","02/29/2020",1
"1132","Nigeria","02/29/2020",1
"1133","North Macedonia","02/29/2020",1
"1134","Norway","02/29/2020",15
"1135","Oman","02/29/2020",6
"1136","Others","02/29/2020",705
"1137","Pakistan","02/29/2020",4
"1138","Philippines","02/29/2020",3
"1139","Qatar","02/29/2020",1
"1140","Romania","02/29/2020",3
"1141","Russia","02/29/2020",2
"1142","San Marino","02/29/2020",1
"1143","Singapore","02/29/2020",102
"1144","South Korea","02/29/2020",3150
"1145","Spain","02/29/2020",45
"1146","Sri Lanka","02/29/2020",1
"1147","Sweden","02/29/2020",12
"1148","Switzerland","02/29/2020",18
"1149","Taiwan","02/29/2020",39
"1150","Thailand","02/29/2020",42
"1151","UK","02/29/2020",23
"1152","United Arab Emirates","02/29/2020",21
"1153","US","02/29/2020",70
"1154","Vietnam","02/29/2020",16
"1155","Afghanistan","03/01/2020",1
"1156","Algeria","03/01/2020",1
"1157","Armenia","03/01/2020",1
"1158","Australia","03/01/2020",27
"1159","Austria","03/01/2020",14
"1160","Azerbaijan","03/01/2020",3
"1161","Bahrain","03/01/2020",47
"1162","Belarus","03/01/2020",1
"1163","Belgium","03/01/2020",2
"1164","Brazil","03/01/2020",2
"1165","Cambodia","03/01/2020",1
"1166","Canada","03/01/2020",24
"1167","Croatia","03/01/2020",7
"1168","Czech Republic","03/01/2020",3
"1169","Denmark","03/01/2020",4
"1170","Dominican Republic","03/01/2020",1
"1171","Ecuador","03/01/2020",6
"1172","Egypt","03/01/2020",2
"1173","Estonia","03/01/2020",1
"1174","Finland","03/01/2020",6
"1175","France","03/01/2020",130
"1176","Georgia","03/01/2020",3
"1177","Germany","03/01/2020",130
"1178","Greece","03/01/2020",7
"1179","Hong Kong","03/01/2020",96
"1180","Iceland","03/01/2020",3
"1181","India","03/01/2020",3
"1182","Iran","03/01/2020",978
"1183","Iraq","03/01/2020",19
"1184","Ireland","03/01/2020",1
"1185","Israel","03/01/2020",10
"1186","Italy","03/01/2020",1694
"1187","Japan","03/01/2020",256
"1188","Kuwait","03/01/2020",45
"1189","Lebanon","03/01/2020",10
"1190","Lithuania","03/01/2020",1
"1191","Luxembourg","03/01/2020",1
"1192","Macau","03/01/2020",10
"1193","Mainland China","03/01/2020",79826
"1194","Malaysia","03/01/2020",29
"1195","Mexico","03/01/2020",5
"1196","Monaco","03/01/2020",1
"1197","Nepal","03/01/2020",1
"1198","Netherlands","03/01/2020",10
"1199","New Zealand","03/01/2020",1
"1200","Nigeria","03/01/2020",1
"1201","North Macedonia","03/01/2020",1
"1202","Norway","03/01/2020",19
"1203","Oman","03/01/2020",6
"1204","Others","03/01/2020",705
"1205","Pakistan","03/01/2020",4
"1206","Philippines","03/01/2020",3
"1207","Qatar","03/01/2020",3
"1208","Romania","03/01/2020",3
"1209","Russia","03/01/2020",2
"1210","San Marino","03/01/2020",1
"1211","Singapore","03/01/2020",106
"1212","South Korea","03/01/2020",3736
"1213","Spain","03/01/2020",84
"1214","Sri Lanka","03/01/2020",1
"1215","Sweden","03/01/2020",14
"1216","Switzerland","03/01/2020",27
"1217","Taiwan","03/01/2020",40
"1218","Thailand","03/01/2020",42
"1219","UK","03/01/2020",36
"1220","United Arab Emirates","03/01/2020",21
"1221","US","03/01/2020",76
"1222","Vietnam","03/01/2020",16
"1223","Afghanistan","03/02/2020",1
"1224","Algeria","03/02/2020",3
"1225","Andorra","03/02/2020",1
"1226","Armenia","03/02/2020",1
"1227","Australia","03/02/2020",30
"1228","Austria","03/02/2020",18
"1229","Azerbaijan","03/02/2020",3
"1230","Bahrain","03/02/2020",49
"1231","Belarus","03/02/2020",1
"1232","Belgium","03/02/2020",8
"1233","Brazil","03/02/2020",2
"1234","Cambodia","03/02/2020",1
"1235","Canada","03/02/2020",27
"1236","Croatia","03/02/2020",7
"1237","Czech Republic","03/02/2020",3
"1238","Denmark","03/02/2020",4
"1239","Dominican Republic","03/02/2020",1
"1240","Ecuador","03/02/2020",6
"1241","Egypt","03/02/2020",2
"1242","Estonia","03/02/2020",1
"1243","Finland","03/02/2020",6
"1244","France","03/02/2020",191
"1245","Georgia","03/02/2020",3
"1246","Germany","03/02/2020",159
"1247","Greece","03/02/2020",7
"1248","Hong Kong","03/02/2020",100
"1249","Iceland","03/02/2020",6
"1250","India","03/02/2020",5
"1251","Indonesia","03/02/2020",2
"1252","Iran","03/02/2020",1501
"1253","Iraq","03/02/2020",26
"1254","Ireland","03/02/2020",1
"1255","Israel","03/02/2020",10
"1256","Italy","03/02/2020",2036
"1257","Japan","03/02/2020",274
"1258","Kuwait","03/02/2020",56
"1259","Latvia","03/02/2020",1
"1260","Lebanon","03/02/2020",13
"1261","Lithuania","03/02/2020",1
"1262","Luxembourg","03/02/2020",1
"1263","Macau","03/02/2020",10
"1264","Mainland China","03/02/2020",80026
"1265","Malaysia","03/02/2020",29
"1266","Mexico","03/02/2020",5
"1267","Monaco","03/02/2020",1
"1268","Morocco","03/02/2020",1
"1269","Nepal","03/02/2020",1
"1270","Netherlands","03/02/2020",18
"1271","New Zealand","03/02/2020",1
"1272","Nigeria","03/02/2020",1
"1273","North Macedonia","03/02/2020",1
"1274","Norway","03/02/2020",25
"1275","Oman","03/02/2020",6
"1276","Others","03/02/2020",705
"1277","Pakistan","03/02/2020",4
"1278","Philippines","03/02/2020",3
"1279","Portugal","03/02/2020",2
"1280","Qatar","03/02/2020",3
"1281","Romania","03/02/2020",3
"1282","Russia","03/02/2020",3
"1283","San Marino","03/02/2020",8
"1284","Saudi Arabia","03/02/2020",1
"1285","Senegal","03/02/2020",1
"1286","Singapore","03/02/2020",108
"1287","South Korea","03/02/2020",4335
"1288","Spain","03/02/2020",120
"1289","Sri Lanka","03/02/2020",1
"1290","Sweden","03/02/2020",15
"1291","Switzerland","03/02/2020",42
"1292","Taiwan","03/02/2020",41
"1293","Thailand","03/02/2020",43
"1294","UK","03/02/2020",40
"1295","United Arab Emirates","03/02/2020",21
"1296","US","03/02/2020",101
"1297","Vietnam","03/02/2020",16
"1298","Afghanistan","03/03/2020",1
"1299","Algeria","03/03/2020",5
"1300","Andorra","03/03/2020",1
"1301","Argentina","03/03/2020",1
"1302","Armenia","03/03/2020",1
"1303","Australia","03/03/2020",39
"1304","Austria","03/03/2020",21
"1305","Azerbaijan","03/03/2020",3
"1306","Bahrain","03/03/2020",49
"1307","Belarus","03/03/2020",1
"1308","Belgium","03/03/2020",13
"1309","Brazil","03/03/2020",2
"1310","Cambodia","03/03/2020",1
"1311","Canada","03/03/2020",30
"1312","Chile","03/03/2020",1
"1313","Croatia","03/03/2020",9
"1314","Czech Republic","03/03/2020",5
"1315","Denmark","03/03/2020",6
"1316","Dominican Republic","03/03/2020",1
"1317","Ecuador","03/03/2020",7
"1318","Egypt","03/03/2020",2
"1319","Estonia","03/03/2020",2
"1320","Finland","03/03/2020",6
"1321","France","03/03/2020",204
"1322","Georgia","03/03/2020",3
"1323","Germany","03/03/2020",196
"1324","Greece","03/03/2020",7
"1325","Hong Kong","03/03/2020",100
"1326","Iceland","03/03/2020",11
"1327","India","03/03/2020",5
"1328","Indonesia","03/03/2020",2
"1329","Iran","03/03/2020",2336
"1330","Iraq","03/03/2020",32
"1331","Ireland","03/03/2020",2
"1332","Israel","03/03/2020",12
"1333","Italy","03/03/2020",2502
"1334","Japan","03/03/2020",293
"1335","Jordan","03/03/2020",1
"1336","Kuwait","03/03/2020",56
"1337","Latvia","03/03/2020",1
"1338","Lebanon","03/03/2020",13
"1339","Lithuania","03/03/2020",1
"1340","Luxembourg","03/03/2020",1
"1341","Macau","03/03/2020",10
"1342","Mainland China","03/03/2020",80151
"1343","Malaysia","03/03/2020",36
"1344","Mexico","03/03/2020",5
"1345","Monaco","03/03/2020",1
"1346","Morocco","03/03/2020",1
"1347","Nepal","03/03/2020",1
"1348","Netherlands","03/03/2020",24
"1349","New Zealand","03/03/2020",1
"1350","Nigeria","03/03/2020",1
"1351","North Macedonia","03/03/2020",1
"1352","Norway","03/03/2020",32
"1353","Oman","03/03/2020",12
"1354","Others","03/03/2020",706
"1355","Pakistan","03/03/2020",5
"1356","Philippines","03/03/2020",3
"1357","Portugal","03/03/2020",2
"1358","Qatar","03/03/2020",7
"1359","Romania","03/03/2020",3
"1360","Russia","03/03/2020",3
"1361","San Marino","03/03/2020",10
"1362","Saudi Arabia","03/03/2020",1
"1363","Senegal","03/03/2020",2
"1364","Singapore","03/03/2020",110
"1365","South Korea","03/03/2020",5186
"1366","Spain","03/03/2020",165
"1367","Sri Lanka","03/03/2020",1
"1368","Sweden","03/03/2020",21
"1369","Switzerland","03/03/2020",56
"1370","Taiwan","03/03/2020",42
"1371","Thailand","03/03/2020",43
"1372","UK","03/03/2020",51
"1373","Ukraine","03/03/2020",1
"1374","United Arab Emirates","03/03/2020",27
"1375","US","03/03/2020",122
"1376","Vietnam","03/03/2020",16
"1377","Afghanistan","03/04/2020",1
"1378","Algeria","03/04/2020",12
"1379","Andorra","03/04/2020",1
"1380","Argentina","03/04/2020",1
"1381","Armenia","03/04/2020",1
"1382","Australia","03/04/2020",52
"1383","Austria","03/04/2020",29
"1384","Azerbaijan","03/04/2020",3
"1385","Bahrain","03/04/2020",52
"1386","Belarus","03/04/2020",6
"1387","Belgium","03/04/2020",23
"1388","Brazil","03/04/2020",4
"1389","Cambodia","03/04/2020",1
"1390","Canada","03/04/2020",33
"1391","Chile","03/04/2020",1
"1392","Croatia","03/04/2020",10
"1393","Czech Republic","03/04/2020",8
"1394","Denmark","03/04/2020",10
"1395","Dominican Republic","03/04/2020",1
"1396","Ecuador","03/04/2020",10
"1397","Egypt","03/04/2020",2
"1398","Estonia","03/04/2020",2
"1399","Faroe Islands","03/04/2020",1
"1400","Finland","03/04/2020",6
"1401","France","03/04/2020",285
"1402","Georgia","03/04/2020",3
"1403","Germany","03/04/2020",262
"1404","Gibraltar","03/04/2020",1
"1405","Greece","03/04/2020",9
"1406","Hong Kong","03/04/2020",105
"1407","Hungary","03/04/2020",2
"1408","Iceland","03/04/2020",26
"1409","India","03/04/2020",28
"1410","Indonesia","03/04/2020",2
"1411","Iran","03/04/2020",2922
"1412","Iraq","03/04/2020",35
"1413","Ireland","03/04/2020",6
"1414","Israel","03/04/2020",15
"1415","Italy","03/04/2020",3089
"1416","Japan","03/04/2020",331
"1417","Jordan","03/04/2020",1
"1418","Kuwait","03/04/2020",56
"1419","Latvia","03/04/2020",1
"1420","Lebanon","03/04/2020",13
"1421","Liechtenstein","03/04/2020",1
"1422","Lithuania","03/04/2020",1
"1423","Luxembourg","03/04/2020",1
"1424","Macau","03/04/2020",10
"1425","Mainland China","03/04/2020",80271
"1426","Malaysia","03/04/2020",50
"1427","Mexico","03/04/2020",5
"1428","Monaco","03/04/2020",1
"1429","Morocco","03/04/2020",1
"1430","Nepal","03/04/2020",1
"1431","Netherlands","03/04/2020",38
"1432","New Zealand","03/04/2020",3
"1433","Nigeria","03/04/2020",1
"1434","North Macedonia","03/04/2020",1
"1435","Norway","03/04/2020",56
"1436","Oman","03/04/2020",15
"1437","Others","03/04/2020",706
"1438","Pakistan","03/04/2020",5
"1439","Philippines","03/04/2020",3
"1440","Poland","03/04/2020",1
"1441","Portugal","03/04/2020",5
"1442","Qatar","03/04/2020",8
"1443","Romania","03/04/2020",4
"1444","Russia","03/04/2020",3
"1445","Saint Barthelemy","03/04/2020",3
"1446","San Marino","03/04/2020",16
"1447","Saudi Arabia","03/04/2020",1
"1448","Senegal","03/04/2020",4
"1449","Singapore","03/04/2020",110
"1450","South Korea","03/04/2020",5621
"1451","Spain","03/04/2020",222
"1452","Sri Lanka","03/04/2020",1
"1453","Sweden","03/04/2020",35
"1454","Switzerland","03/04/2020",90
"1455","Taiwan","03/04/2020",42
"1456","Thailand","03/04/2020",43
"1457","Tunisia","03/04/2020",1
"1458","UK","03/04/2020",85
"1459","Ukraine","03/04/2020",1
"1460","United Arab Emirates","03/04/2020",27
"1461","US","03/04/2020",153
"1462","Vietnam","03/04/2020",16
"1463","Afghanistan","03/05/2020",1
"1464","Algeria","03/05/2020",12
"1465","Andorra","03/05/2020",1
"1466","Argentina","03/05/2020",1
"1467","Armenia","03/05/2020",1
"1468","Australia","03/05/2020",55
"1469","Austria","03/05/2020",41
"1470","Azerbaijan","03/05/2020",6
"1471","Bahrain","03/05/2020",55
"1472","Belarus","03/05/2020",6
"1473","Belgium","03/05/2020",50
"1474","Bosnia and Herzegovina","03/05/2020",2
"1475","Brazil","03/05/2020",4
"1476","Cambodia","03/05/2020",1
"1477","Canada","03/05/2020",37
"1478","Chile","03/05/2020",4
"1479","Croatia","03/05/2020",10
"1480","Czech Republic","03/05/2020",12
"1481","Denmark","03/05/2020",10
"1482","Dominican Republic","03/05/2020",1
"1483","Ecuador","03/05/2020",13
"1484","Egypt","03/05/2020",3
"1485","Estonia","03/05/2020",3
"1486","Faroe Islands","03/05/2020",1
"1487","Finland","03/05/2020",12
"1488","France","03/05/2020",377
"1489","Georgia","03/05/2020",4
"1490","Germany","03/05/2020",482
"1491","Gibraltar","03/05/2020",1
"1492","Greece","03/05/2020",31
"1493","Hong Kong","03/05/2020",105
"1494","Hungary","03/05/2020",2
"1495","Iceland","03/05/2020",34
"1496","India","03/05/2020",30
"1497","Indonesia","03/05/2020",2
"1498","Iran","03/05/2020",3513
"1499","Iraq","03/05/2020",35
"1500","Ireland","03/05/2020",6
"1501","Israel","03/05/2020",16
"1502","Italy","03/05/2020",3858
"1503","Japan","03/05/2020",360
"1504","Jordan","03/05/2020",1
"1505","Kuwait","03/05/2020",58
"1506","Latvia","03/05/2020",1
"1507","Lebanon","03/05/2020",16
"1508","Liechtenstein","03/05/2020",1
"1509","Lithuania","03/05/2020",1
"1510","Luxembourg","03/05/2020",1
"1511","Macau","03/05/2020",10
"1512","Mainland China","03/05/2020",80422
"1513","Malaysia","03/05/2020",50
"1514","Mexico","03/05/2020",5
"1515","Monaco","03/05/2020",1
"1516","Morocco","03/05/2020",2
"1517","Nepal","03/05/2020",1
"1518","Netherlands","03/05/2020",82
"1519","New Zealand","03/05/2020",3
"1520","Nigeria","03/05/2020",1
"1521","North Macedonia","03/05/2020",1
"1522","Norway","03/05/2020",87
"1523","Oman","03/05/2020",16
"1524","Others","03/05/2020",706
"1525","Pakistan","03/05/2020",5
"1526","Palestine","03/05/2020",4
"1527","Philippines","03/05/2020",3
"1528","Poland","03/05/2020",1
"1529","Portugal","03/05/2020",8
"1530","Qatar","03/05/2020",8
"1531","Romania","03/05/2020",6
"1532","Russia","03/05/2020",4
"1533","Saint Barthelemy","03/05/2020",3
"1534","San Marino","03/05/2020",21
"1535","Saudi Arabia","03/05/2020",5
"1536","Senegal","03/05/2020",4
"1537","Singapore","03/05/2020",117
"1538","Slovenia","03/05/2020",2
"1539","South Africa","03/05/2020",1
"1540","South Korea","03/05/2020",6088
"1541","Spain","03/05/2020",259
"1542","Sri Lanka","03/05/2020",1
"1543","Sweden","03/05/2020",94
"1544","Switzerland","03/05/2020",114
"1545","Taiwan","03/05/2020",44
"1546","Thailand","03/05/2020",47
"1547","Tunisia","03/05/2020",1
"1548","UK","03/05/2020",115
"1549","Ukraine","03/05/2020",1
"1550","United Arab Emirates","03/05/2020",29
"1551","US","03/05/2020",221
"1552","Vietnam","03/05/2020",16
"1553","Afghanistan","03/06/2020",1
"1554","Algeria","03/06/2020",17
"1555","Andorra","03/06/2020",1
"1556","Argentina","03/06/2020",2
"1557","Armenia","03/06/2020",1
"1558","Australia","03/06/2020",60
"1559","Austria","03/06/2020",55
"1560","Azerbaijan","03/06/2020",6
"1561","Bahrain","03/06/2020",60
"1562","Belarus","03/06/2020",6
"1563","Belgium","03/06/2020",109
"1564","Bhutan","03/06/2020",1
"1565","Bosnia and Herzegovina","03/06/2020",2
"1566","Brazil","03/06/2020",13
"1567","Cambodia","03/06/2020",1
"1568","Cameroon","03/06/2020",1
"1569","Canada","03/06/2020",49
"1570","Chile","03/06/2020",4
"1571","Colombia","03/06/2020",1
"1572","Costa Rica","03/06/2020",1
"1573","Croatia","03/06/2020",11
"1574","Czech Republic","03/06/2020",18
"1575","Denmark","03/06/2020",23
"1576","Dominican Republic","03/06/2020",2
"1577","Ecuador","03/06/2020",13
"1578","Egypt","03/06/2020",15
"1579","Estonia","03/06/2020",10
"1580","Faroe Islands","03/06/2020",1
"1581","Finland","03/06/2020",15
"1582","France","03/06/2020",653
"1583","Georgia","03/06/2020",4
"1584","Germany","03/06/2020",670
"1585","Gibraltar","03/06/2020",1
"1586","Greece","03/06/2020",45
"1587","Hong Kong","03/06/2020",107
"1588","Hungary","03/06/2020",2
"1589","Iceland","03/06/2020",43
"1590","India","03/06/2020",31
"1591","Indonesia","03/06/2020",4
"1592","Iran","03/06/2020",4747
"1593","Iraq","03/06/2020",40
"1594","Ireland","03/06/2020",18
"1595","Israel","03/06/2020",21
"1596","Italy","03/06/2020",4636
"1597","Japan","03/06/2020",420
"1598","Jordan","03/06/2020",1
"1599","Kuwait","03/06/2020",58
"1600","Latvia","03/06/2020",1
"1601","Lebanon","03/06/2020",22
"1602","Liechtenstein","03/06/2020",1
"1603","Lithuania","03/06/2020",1
"1604","Luxembourg","03/06/2020",2
"1605","Macau","03/06/2020",10
"1606","Mainland China","03/06/2020",80573
"1607","Malaysia","03/06/2020",83
"1608","Mexico","03/06/2020",6
"1609","Monaco","03/06/2020",1
"1610","Morocco","03/06/2020",2
"1611","Nepal","03/06/2020",1
"1612","Netherlands","03/06/2020",128
"1613","New Zealand","03/06/2020",4
"1614","Nigeria","03/06/2020",1
"1615","North Macedonia","03/06/2020",3
"1616","Norway","03/06/2020",108
"1617","Oman","03/06/2020",16
"1618","Others","03/06/2020",696
"1619","Pakistan","03/06/2020",6
"1620","Palestine","03/06/2020",16
"1621","Peru","03/06/2020",1
"1622","Philippines","03/06/2020",5
"1623","Poland","03/06/2020",5
"1624","Portugal","03/06/2020",13
"1625","Qatar","03/06/2020",8
"1626","Romania","03/06/2020",9
"1627","Russia","03/06/2020",13
"1628","Saint Barthelemy","03/06/2020",3
"1629","San Marino","03/06/2020",21
"1630","Saudi Arabia","03/06/2020",5
"1631","Senegal","03/06/2020",4
"1632","Serbia","03/06/2020",1
"1633","Singapore","03/06/2020",130
"1634","Slovakia","03/06/2020",1
"1635","Slovenia","03/06/2020",7
"1636","South Africa","03/06/2020",1
"1637","South Korea","03/06/2020",6593
"1638","Spain","03/06/2020",400
"1639","Sri Lanka","03/06/2020",1
"1640","Sweden","03/06/2020",101
"1641","Switzerland","03/06/2020",214
"1642","Taiwan","03/06/2020",45
"1643","Thailand","03/06/2020",48
"1644","Togo","03/06/2020",1
"1645","Tunisia","03/06/2020",1
"1646","UK","03/06/2020",163
"1647","Ukraine","03/06/2020",1
"1648","United Arab Emirates","03/06/2020",29
"1649","US","03/06/2020",278
"1650","Vatican City","03/06/2020",1
"1651","Vietnam","03/06/2020",16
"1652","Afghanistan","03/07/2020",1
"1653","Algeria","03/07/2020",17
"1654","Andorra","03/07/2020",1
"1655","Argentina","03/07/2020",8
"1656","Armenia","03/07/2020",1
"1657","Australia","03/07/2020",63
"1658","Austria","03/07/2020",79
"1659","Azerbaijan","03/07/2020",9
"1660","Bahrain","03/07/2020",85
"1661","Belarus","03/07/2020",6
"1662","Belgium","03/07/2020",169
"1663","Bhutan","03/07/2020",1
"1664","Bosnia and Herzegovina","03/07/2020",3
"1665","Brazil","03/07/2020",13
"1666","Cambodia","03/07/2020",1
"1667","Cameroon","03/07/2020",1
"1668","Canada","03/07/2020",54
"1669","Chile","03/07/2020",4
"1670","Colombia","03/07/2020",1
"1671","Costa Rica","03/07/2020",1
"1672","Croatia","03/07/2020",12
"1673","Czech Republic","03/07/2020",19
"1674","Denmark","03/07/2020",23
"1675","Dominican Republic","03/07/2020",2
"1676","Ecuador","03/07/2020",13
"1677","Egypt","03/07/2020",15
"1678","Estonia","03/07/2020",10
"1679","Faroe Islands","03/07/2020",1
"1680","Finland","03/07/2020",15
"1681","France","03/07/2020",949
"1682","French Guiana","03/07/2020",5
"1683","Georgia","03/07/2020",4
"1684","Germany","03/07/2020",799
"1685","Gibraltar","03/07/2020",1
"1686","Greece","03/07/2020",46
"1687","Hong Kong","03/07/2020",108
"1688","Hungary","03/07/2020",4
"1689","Iceland","03/07/2020",50
"1690","India","03/07/2020",34
"1691","Indonesia","03/07/2020",4
"1692","Iran","03/07/2020",5823
"1693","Iraq","03/07/2020",54
"1694","Ireland","03/07/2020",18
"1695","Israel","03/07/2020",21
"1696","Italy","03/07/2020",5883
"1697","Japan","03/07/2020",461
"1698","Jordan","03/07/2020",1
"1699","Kuwait","03/07/2020",61
"1700","Latvia","03/07/2020",1
"1701","Lebanon","03/07/2020",22
"1702","Liechtenstein","03/07/2020",1
"1703","Lithuania","03/07/2020",1
"1704","Luxembourg","03/07/2020",2
"1705","Macau","03/07/2020",10
"1706","Mainland China","03/07/2020",80652
"1707","Malaysia","03/07/2020",93
"1708","Malta","03/07/2020",3
"1709","Martinique","03/07/2020",2
"1710","Mexico","03/07/2020",6
"1711","Monaco","03/07/2020",1
"1712","Morocco","03/07/2020",2
"1713","Nepal","03/07/2020",1
"1714","Netherlands","03/07/2020",188
"1715","New Zealand","03/07/2020",5
"1716","Nigeria","03/07/2020",1
"1717","North Macedonia","03/07/2020",3
"1718","Norway","03/07/2020",147
"1719","Oman","03/07/2020",16
"1720","Others","03/07/2020",696
"1721","Pakistan","03/07/2020",6
"1722","Palestine","03/07/2020",22
"1723","Peru","03/07/2020",1
"1724","Philippines","03/07/2020",6
"1725","Poland","03/07/2020",5
"1726","Portugal","03/07/2020",20
"1727","Qatar","03/07/2020",8
"1728","Romania","03/07/2020",9
"1729","Russia","03/07/2020",13
"1730","Saint Barthelemy","03/07/2020",3
"1731","San Marino","03/07/2020",23
"1732","Saudi Arabia","03/07/2020",5
"1733","Senegal","03/07/2020",4
"1734","Serbia","03/07/2020",1
"1735","Singapore","03/07/2020",138
"1736","Slovakia","03/07/2020",1
"1737","Slovenia","03/07/2020",7
"1738","South Africa","03/07/2020",1
"1739","South Korea","03/07/2020",7041
"1740","Spain","03/07/2020",500
"1741","Sri Lanka","03/07/2020",1
"1742","Sweden","03/07/2020",161
"1743","Switzerland","03/07/2020",268
"1744","Taiwan","03/07/2020",45
"1745","Thailand","03/07/2020",50
"1746","Togo","03/07/2020",1
"1747","Tunisia","03/07/2020",1
"1748","UK","03/07/2020",206
"1749","Ukraine","03/07/2020",1
"1750","United Arab Emirates","03/07/2020",45
"1751","US","03/07/2020",417
"1752","Vatican City","03/07/2020",1
"1753","Vietnam","03/07/2020",18
"1754","Afghanistan","03/08/2020",4
"1755","Algeria","03/08/2020",19
"1756","Andorra","03/08/2020",1
"1757","Argentina","03/08/2020",12
"1758","Armenia","03/08/2020",1
"1759","Australia","03/08/2020",76
"1760","Austria","03/08/2020",104
"1761","Azerbaijan","03/08/2020",9
"1762","Bahrain","03/08/2020",85
"1763","Bangladesh","03/08/2020",3
"1764","Belarus","03/08/2020",6
"1765","Belgium","03/08/2020",200
"1766","Bhutan","03/08/2020",1
"1767","Bosnia and Herzegovina","03/08/2020",3
"1768","Brazil","03/08/2020",20
"1769","Bulgaria","03/08/2020",4
"1770","Cambodia","03/08/2020",2
"1771","Cameroon","03/08/2020",2
"1772","Canada","03/08/2020",64
"1773","Chile","03/08/2020",8
"1774","Colombia","03/08/2020",1
"1775","Costa Rica","03/08/2020",5
"1776","Croatia","03/08/2020",12
"1777","Czech Republic","03/08/2020",31
"1778","Denmark","03/08/2020",35
"1779","Dominican Republic","03/08/2020",5
"1780","Ecuador","03/08/2020",14
"1781","Egypt","03/08/2020",49
"1782","Estonia","03/08/2020",10
"1783","Faroe Islands","03/08/2020",2
"1784","Finland","03/08/2020",23
"1785","France","03/08/2020",1126
"1786","French Guiana","03/08/2020",5
"1787","Georgia","03/08/2020",13
"1788","Germany","03/08/2020",1040
"1789","Gibraltar","03/08/2020",1
"1790","Greece","03/08/2020",73
"1791","Hong Kong","03/08/2020",114
"1792","Hungary","03/08/2020",7
"1793","Iceland","03/08/2020",50
"1794","India","03/08/2020",39
"1795","Indonesia","03/08/2020",6
"1796","Iran","03/08/2020",6566
"1797","Iraq","03/08/2020",60
"1798","Ireland","03/08/2020",19
"1799","Israel","03/08/2020",39
"1800","Italy","03/08/2020",7375
"1801","Japan","03/08/2020",502
"1802","Jordan","03/08/2020",1
"1803","Kuwait","03/08/2020",64
"1804","Latvia","03/08/2020",2
"1805","Lebanon","03/08/2020",32
"1806","Liechtenstein","03/08/2020",1
"1807","Lithuania","03/08/2020",1
"1808","Luxembourg","03/08/2020",3
"1809","Macau","03/08/2020",10
"1810","Mainland China","03/08/2020",80699
"1811","Malaysia","03/08/2020",99
"1812","Maldives","03/08/2020",4
"1813","Malta","03/08/2020",3
"1814","Martinique","03/08/2020",2
"1815","Mexico","03/08/2020",7
"1816","Moldova","03/08/2020",1
"1817","Monaco","03/08/2020",1
"1818","Morocco","03/08/2020",2
"1819","Nepal","03/08/2020",1
"1820","Netherlands","03/08/2020",265
"1821","New Zealand","03/08/2020",5
"1822","Nigeria","03/08/2020",1
"1823","North Macedonia","03/08/2020",3
"1824","Norway","03/08/2020",176
"1825","Oman","03/08/2020",16
"1826","Others","03/08/2020",696
"1827","Pakistan","03/08/2020",6
"1828","Palestine","03/08/2020",22
"1829","Paraguay","03/08/2020",1
"1830","Peru","03/08/2020",6
"1831","Philippines","03/08/2020",10
"1832","Poland","03/08/2020",11
"1833","Portugal","03/08/2020",30
"1834","Qatar","03/08/2020",15
"1835","Republic of Ireland","03/08/2020",21
"1836","Romania","03/08/2020",15
"1837","Russia","03/08/2020",17
"1838","Saint Barthelemy","03/08/2020",3
"1839","San Marino","03/08/2020",36
"1840","Saudi Arabia","03/08/2020",11
"1841","Senegal","03/08/2020",4
"1842","Serbia","03/08/2020",1
"1843","Singapore","03/08/2020",150
"1844","Slovakia","03/08/2020",3
"1845","Slovenia","03/08/2020",16
"1846","South Africa","03/08/2020",3
"1847","South Korea","03/08/2020",7314
"1848","Spain","03/08/2020",673
"1849","Sri Lanka","03/08/2020",1
"1850","Sweden","03/08/2020",203
"1851","Switzerland","03/08/2020",337
"1852","Taiwan","03/08/2020",45
"1853","Thailand","03/08/2020",50
"1854","Togo","03/08/2020",1
"1855","Tunisia","03/08/2020",2
"1856","UK","03/08/2020",273
"1857","Ukraine","03/08/2020",1
"1858","United Arab Emirates","03/08/2020",45
"1859","US","03/08/2020",537
"1860","Vatican City","03/08/2020",1
"1861","Vietnam","03/08/2020",30
"1862","Afghanistan","03/09/2020",4
"1863","Albania","03/09/2020",2
"1864","Algeria","03/09/2020",20
"1865","Andorra","03/09/2020",1
"1866","Argentina","03/09/2020",12
"1867","Armenia","03/09/2020",1
"1868","Australia","03/09/2020",91
"1869","Austria","03/09/2020",131
"1870","Azerbaijan","03/09/2020",9
"1871","Bahrain","03/09/2020",95
"1872","Bangladesh","03/09/2020",3
"1873","Belarus","03/09/2020",6
"1874","Belgium","03/09/2020",239
"1875","Bhutan","03/09/2020",1
"1876","Bosnia and Herzegovina","03/09/2020",3
"1877","Brazil","03/09/2020",25
"1878","Brunei","03/09/2020",1
"1879","Bulgaria","03/09/2020",4
"1880","Cambodia","03/09/2020",2
"1881","Cameroon","03/09/2020",2
"1882","Canada","03/09/2020",76
"1883","Chile","03/09/2020",8
